用户ID,客户分类,区域,是否省会,7月销量,8月销量,9月销量,10月销量,11月销量
44307,A类,二线城市,否,12,11,8,3,6
5227,A类,二线城市,否,4,1,4,0,0
9836,A类,二线城市,否,31,25,30,19,25
11828,A类,二线城市,否,5,6,10,13,11
55021,A类,一线城市,否,17,9,18,7,14
3211,A类,二线城市,否,23,16,19,8,24
47400,A类,二线城市,否,11,10,13,6,5
11867,A类,二线城市,否,19,9,25,15,11
25119,A类,二线城市,否,3,3,6,5,7
4382,A类,二线城市,否,5,10,4,5,1
24232,A类,三线城市,否,19,16,16,22,46
6327,A类,二线城市,否,8,18,18,1,0
36943,A类,二线城市,否,16,23,39,20,31
532,A类,一线城市,否,11,17,14,13,22
33804,A类,二线城市,否,10,4,8,5,3
20121,A类,三线城市,否,15,5,17,10,27
51731,A类,二线城市,否,24,15,17,21,18
57025,A类,三线城市,否,23,41,57,94,18
45556,A类,一线城市,否,1,5,7,6,9
37971,A类,二线城市,否,14,11,10,8,6
2671,A类,二线城市,否,35,25,40,32,33
13698,A类,二线城市,否,14,10,8,15,21
21209,A类,二线城市,否,4,4,,3,3
8838,A类,二线城市,否,29,7,11,18,19
57241,A类,三线城市,否,4,4,10,0,0
19239,A类,二线城市,否,9,5,9,16,9
54875,A类,二线城市,否,8,9,7,4,5
44483,A类,二线城市,否,8,5,9,13,3
2456,A类,二线城市,否,15,16,15,16,16
27982,A类,一线城市,否,13,14,12,13,12
57571,A类,二线城市,否,9,10,6,3,2
717,A类,二线城市,否,14,9,17,16,5
57845,A类,三线城市,否,14,8,3,1,3
934,A类,二线城市,否,11,15,13,1,0
15086,A类,二线城市,否,18,16,20,12,6
6013,A类,二线城市,否,26,12,19,10,13
27300,A类,二线城市,否,35,26,62,51,26
2729,A类,二线城市,否,6,4,5,0,2
2825,A类,二线城市,否,59,47,29,56,41
1301,A类,一线城市,否,5,2,5,1,3
35873,A类,二线城市,否,21,20,20,13,19
426,A类,二线城市,否,65,50,67,109,95
3918,A类,一线城市,否,10,12,9,13,13
2495,A类,二线城市,否,21,18,22,26,39
18655,A类,二线城市,否,7,9,12,11,9
446,A类,二线城市,否,43,40,48,36,33
46490,A类,三线城市,否,25,18,36,12,21
2518,A类,二线城市,否,8,9,4,9,4
55896,A类,三线城市,否,1,14,1,6,1
51183,A类,二线城市,否,16,10,11,21,8
41549,A类,三线城市,否,11,5,18,10,2
9352,A类,二线城市,否,24,25,32,22,16
57783,A类,三线城市,否,23,14,14,8,15
21842,A类,二线城市,否,13,7,2,3,10
25283,A类,二线城市,否,21,19,29,27,24
120,A类,二线城市,否,60,70,105,114,100
10271,A类,三线城市,否,14,13,21,14,12
8339,A类,二线城市,否,7,9,4,28,23
57013,A类,二线城市,否,19,9,11,14,15
22055,A类,三线城市,否,16,16,14,22,16
46449,A类,二线城市,否,9,8,14,1,15
